ZipCode,Time,Value
60616,2012-10-01,280900.0
60622,2012-10-01,534900.0
60615,2012-10-01,373200.0
60641,2012-10-01,177400.0
60660,2012-10-01,401300.0
60608,2012-10-01,170400.0
60657,2012-11-01,794100.0
60614,2012-11-01,1003100.0
60640,2012-11-01,552200.0
60647,2012-11-01,291600.0
60618,2012-11-01,321600.0
60613,2012-11-01,771000.0
60629,2012-11-01,111800.0
60625,2012-11-01,327600.0
60619,2012-11-01,114400.0
60610,2012-11-01,807200.0
60620,2012-11-01,101100.0
60634,2012-11-01,172300.0
60626,2012-11-01,314600.0
60649,2012-11-01,145500.0
60616,2012-11-01,285700.0
60622,2012-11-01,536400.0
60615,2012-11-01,373600.0
60641,2012-11-01,177700.0
60660,2012-11-01,409700.0
60608,2012-11-01,170100.0
60657,2012-12-01,798900.0
60614,2012-12-01,1002700.0
60640,2012-12-01,547700.0
60647,2012-12-01,295300.0
60618,2012-12-01,322700.0
60613,2012-12-01,772800.0
60629,2012-12-01,112500.0
60625,2012-12-01,329800.0
60619,2012-12-01,114400.0
60610,2012-12-01,807900.0
60620,2012-12-01,102900.0
60634,2012-12-01,173100.0
60626,2012-12-01,314300.0
60649,2012-12-01,146100.0
60616,2012-12-01,289300.0
60622,2012-12-01,536800.0
60615,2012-12-01,373500.0
60641,2012-12-01,177900.0
60660,2012-12-01,413300.0
60608,2012-12-01,169200.0
60657,2013-01-01,802300.0
60614,2013-01-01,1006300.0
60640,2013-01-01,547400.0
60647,2013-01-01,299700.0
60618,2013-01-01,324500.0
60613,2013-01-01,775200.0
60629,2013-01-01,113000.0
60625,2013-01-01,332100.0
60619,2013-01-01,113400.0
60610,2013-01-01,813000.0
60620,2013-01-01,105100.0
60634,2013-01-01,173800.0
60626,2013-01-01,317200.0
60649,2013-01-01,147200.0
60616,2013-01-01,293300.0
60622,2013-01-01,537800.0
60615,2013-01-01,373100.0
60641,2013-01-01,178300.0
60660,2013-01-01,412200.0
60608,2013-01-01,167500.0
60657,2013-02-01,806100.0
60614,2013-02-01,1013700.0
60640,2013-02-01,549900.0
60647,2013-02-01,304600.0
60618,2013-02-01,327400.0
60613,2013-02-01,779800.0
60629,2013-02-01,113300.0
60625,2013-02-01,334300.0
60619,2013-02-01,111300.0
60610,2013-02-01,821500.0
60620,2013-02-01,106600.0
60634,2013-02-01,174900.0
60626,2013-02-01,320500.0
60649,2013-02-01,148900.0
60616,2013-02-01,297400.0
60622,2013-02-01,540500.0
60615,2013-02-01,373100.0
60641,2013-02-01,178600.0
60660,2013-02-01,412000.0
60608,2013-02-01,165800.0
60657,2013-03-01,810900.0
60614,2013-03-01,1024800.0
60640,2013-03-01,556700.0
60647,2013-03-01,310800.0
60618,2013-03-01,331400.0
60613,2013-03-01,783000.0
60629,2013-03-01,113700.0
60625,2013-03-01,338400.0
60619,2013-03-01,110600.0
60610,2013-03-01,832100.0
60620,2013-03-01,107800.0
60634,2013-03-01,178000.0
60626,2013-03-01,318300.0
60649,2013-03-01,150500.0
60616,2013-03-01,301500.0
60622,2013-03-01,544600.0
60615,2013-03-01,375000.0
60641,2013-03-01,180700.0
60660,2013-03-01,415700.0
60608,2013-03-01,164800.0
60657,2013-04-01,817400.0
60614,2013-04-01,1038300.0
60640,2013-04-01,566800.0
60647,2013-04-01,317200.0
60618,2013-04-01,336300.0
60613,2013-04-01,787300.0
60629,2013-04-01,114500.0
60625,2013-04-01,344300.0
60619,2013-04-01,109200.0
60610,2013-04-01,841500.0
60620,2013-04-01,107500.0
60634,2013-04-01,181900.0
60626,2013-04-01,314100.0
60649,2013-04-01,151500.0
60616,2013-04-01,306000.0
60622,2013-04-01,549300.0
60615,2013-04-01,380200.0
60641,2013-04-01,184600.0
60660,2013-04-01,418700.0
60608,2013-04-01,162400.0
60657,2013-05-01,826800.0
60614,2013-05-01,1053900.0
60640,2013-05-01,574000.0
60647,2013-05-01,322100.0
60618,2013-05-01,341500.0
60613,2013-05-01,795700.0
60629,2013-05-01,116000.0
60625,2013-05-01,348900.0
60619,2013-05-01,107000.0
60610,2013-05-01,854600.0
60620,2013-05-01,106700.0
60634,2013-05-01,185100.0
60626,2013-05-01,312400.0
60649,2013-05-01,151900.0
60616,2013-05-01,310500.0
60622,2013-05-01,556100.0
60615,2013-05-01,384400.0
60641,2013-05-01,189800.0
60660,2013-05-01,420700.0
60608,2013-05-01,159500.0
60657,2013-06-01,837900.0
60614,2013-06-01,1070600.0
60640,2013-06-01,581200.0
60647,2013-06-01,327300.0
60618,2013-06-01,347500.0
60613,2013-06-01,803900.0
60629,2013-06-01,118000.0
60625,2013-06-01,353200.0
60619,2013-06-01,104700.0
60610,2013-06-01,874700.0
60620,2013-06-01,105700.0
60634,2013-06-01,187900.0
60626,2013-06-01,315100.0
60649,2013-06-01,151300.0
60616,2013-06-01,315500.0
60622,2013-06-01,565100.0
60615,2013-06-01,386200.0
60641,2013-06-01,195300.0
60660,2013-06-01,427600.0
60608,2013-06-01,161000.0
60657,2013-07-01,848100.0
60614,2013-07-01,1089900.0
60640,2013-07-01,588500.0
60647,2013-07-01,332800.0
60618,2013-07-01,353000.0
60613,2013-07-01,811800.0
60629,2013-07-01,119500.0
60625,2013-07-01,358900.0
60619,2013-07-01,103900.0
60610,2013-07-01,899700.0
60620,2013-07-01,105500.0
60634,2013-07-01,191200.0
60626,2013-07-01,320800.0
60649,2013-07-01,150900.0
60616,2013-07-01,320500.0
60622,2013-07-01,574700.0
60615,2013-07-01,391500.0
60641,2013-07-01,200700.0
60660,2013-07-01,434000.0
60608,2013-07-01,166400.0
60657,2013-08-01,853800.0
60614,2013-08-01,1108100.0
60640,2013-08-01,591400.0
60647,2013-08-01,334100.0
60618,2013-08-01,356200.0
60613,2013-08-01,818500.0
60629,2013-08-01,119600.0
60625,2013-08-01,364300.0
60619,2013-08-01,102000.0
60610,2013-08-01,919400.0
60620,2013-08-01,105000.0
60634,2013-08-01,194900.0
60626,2013-08-01,326800.0
60649,2013-08-01,150700.0
60616,2013-08-01,323200.0
60622,2013-08-01,580100.0
60615,2013-08-01,400000.0
60641,2013-08-01,206100.0
